storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
UdiS9NqhiRI,official,19.0,0.5117127895355225,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
UdiS9NqhiRI,official,23.0,0.6741344332695007,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
UdiS9NqhiRI,official,24.0,0.5169426202774048,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
UdiS9NqhiRI,sedan,19.0,0.4196941554546356,car,/m/021mp2,/m/0k4j,sedan,sedan,OTHER,,,,,car,car,car,car,OTHER
UdiS9NqhiRI,sedan,23.0,0.5153950452804565,car,/m/021mp2,/m/0k4j,sedan,sedan,OTHER,,,,,car,car,car,car,OTHER
UdiS9NqhiRI,sedan,24.0,0.4115517139434815,car,/m/021mp2,/m/0k4j,sedan,sedan,OTHER,,,,,car,car,car,car,OTHER
UdiS9NqhiRI,pedestrian,23.0,0.44801706075668335,person,/m/017r8p,/m/01g317,pedestrian,pedestrian,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
UdiS9NqhiRI,competition event,20.0,0.4241914749145508,event,/m/04stdlw,/m/081pkj,competition event,competition event,OTHER,,,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,18.0,0.4738079011440277,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,19.0,0.5239939093589783,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,20.0,0.5321585536003113,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,21.0,0.7170847654342651,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,22.0,0.6088184714317322,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,23.0,0.42135730385780334,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,spring break,24.0,0.485558956861496,event,/m/02dy7v,/m/081pkj,spring break,spring break,OTHER,,http://dbpedia.org/ontology/Disease,,,event,event,event,event,OTHER
UdiS9NqhiRI,people,19.0,0.9626891613006592,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,20.0,0.9678500294685364,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,21.0,0.9775075912475586,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,22.0,0.9628638625144958,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,23.0,0.9751464724540708,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,24.0,0.9668087363243104,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,people,25.0,0.9699191451072692,person,/m/09g5pq,/m/01g317,people,people,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
UdiS9NqhiRI,transport,21.0,0.8285928964614868,OTHER,/m/07bsy,,transport,transport,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,OTHER,OTHER,OTHER,OTHER,OTHER
UdiS9NqhiRI,day,19.0,0.8890968561172485,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
UdiS9NqhiRI,day,23.0,0.8944478034973145,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
UdiS9NqhiRI,day,25.0,0.8878350257873535,OTHER,/m/02bbq,,day,day,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,PERSON,OTHER,OTHER,OTHER,OTHER,OTHER
UdiS9NqhiRI,public space,23.0,0.893606960773468,city,/m/01lqfm,/m/01n32,public space,public space,OTHER,,,,,LOCATION,city,city,city,LOCATION
UdiS9NqhiRI,public space,25.0,0.84698086977005,city,/m/01lqfm,/m/01n32,public space,public space,OTHER,,,,,LOCATION,city,city,city,LOCATION
UdiS9NqhiRI,rallying,22.0,0.4335016906261444,racing,/m/0dr19,/m/0dfbw,rally,rally,OTHER,,,,,racing,racing,EVENT,racing,EVENT
UdiS9NqhiRI,minivan,18.0,0.4959295988082886,car,/m/057gn,/m/0k4j,minivan,minivan,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
UdiS9NqhiRI,minivan,19.0,0.5237829685211182,car,/m/057gn,/m/0k4j,minivan,minivan,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
UdiS9NqhiRI,minivan,21.0,0.4216183722019196,car,/m/057gn,/m/0k4j,minivan,minivan,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
